board_size,game_time,agent_x_name,agent_o_name,agent_x_time,agent_o_time,winner
3,0.0002377033233642,RLAgent,Random Agent,2.2041249849280575e-05,7.0730845133463544e-06,RLAgent
3,0.0002801418304443,RLAgent,Random Agent,1.9133599926135504e-05,7.331371307373047e-06,RLAgent
3,0.0002238750457763,RLAgent,Random Agent,1.990649980143644e-05,6.4373016357421875e-06,RLAgent
3,0.0002040863037109,RLAgent,Random Agent,1.780200000212062e-05,6.2783559163411456e-06,RLAgent
3,0.0002291202545166,RLAgent,Random Agent,2.059375015051046e-05,6.67572021484375e-06,RLAgent
3,0.000220775604248,RLAgent,Random Agent,2.0156499886070375e-05,6.67572021484375e-06,RLAgent
3,0.0002729892730712,RLAgent,Random Agent,1.9533200065779967e-05,6.794929504394531e-06,RLAgent
3,0.0002098083496093,RLAgent,Random Agent,1.8510500240154215e-05,6.67572021484375e-06,RLAgent
3,0.0002119541168212,RLAgent,Random Agent,1.8947999933516257e-05,6.516774495442708e-06,RLAgent
3,0.0002238750457763,RLAgent,Random Agent,1.96772502931708e-05,6.7551930745442706e-06,RLAgent
3,0.0002310276031494,RLAgent,Random Agent,2.086449944727065e-05,7.311503092447917e-06,RLAgent
3,0.0002219676971435,RLAgent,Random Agent,2.0145750113442773e-05,6.357828776041667e-06,RLAgent
3,0.0002288818359375,RLAgent,Random Agent,1.9937249817303385e-05,7.311503092447917e-06,RLAgent
3,0.000223159790039,RLAgent,Random Agent,1.9749749981201603e-05,6.67572021484375e-06,RLAgent
3,0.0002248287200927,RLAgent,Random Agent,2.0073000314368983e-05,6.67572021484375e-06,RLAgent
3,0.0002248287200927,RLAgent,Random Agent,2.0864499902017997e-05,7.152557373046875e-06,RLAgent
3,0.0002298355102539,RLAgent,Random Agent,2.030200039371266e-05,6.9141387939453125e-06,RLAgent
3,0.0001718997955322,RLAgent,Random Agent,2.1625000044878107e-05,7.033348083496094e-06,RLAgent
3,0.000288963317871,RLAgent,Random Agent,2.0375200438138564e-05,6.735324859619141e-06,Draw
3,0.000176191329956,RLAgent,Random Agent,2.1583666542331532e-05,6.4373016357421875e-06,RLAgent
3,0.000230073928833,RLAgent,Random Agent,2.0197750245642965e-05,7.152557373046875e-06,RLAgent
3,0.0002822875976562,RLAgent,Random Agent,1.8791600086842664e-05,6.794929504394531e-06,Draw
3,0.0002276897430419,RLAgent,Random Agent,2.025000026151247e-05,6.9141387939453125e-06,RLAgent
3,0.0002269744873046,RLAgent,Random Agent,2.051049978035735e-05,6.67572021484375e-06,RLAgent
3,0.0002748966217041,RLAgent,Random Agent,1.9691800116561353e-05,6.794929504394531e-06,RLAgent
